B_Obs,Time,LAI,GAP[1],GAP[2],GAP[3],GAP[4],GAP[5]
271,16:36:36,1.89901,0.81634,0.839765,0.361426,0.0627001,0.112528
274,16:36:39,0.474133,0.50714,0.618289,0.845489,0.802366,0.504234
280,16:38:06,0.803851,0.406959,0.41508,0.407247,0.620838,0.762124
283,16:38:08,0.718913,0.4639,0.541612,0.481612,0.564834,0.733069
286,16:38:11,0.476325,0.288798,0.594313,0.670903,0.795156,0.840928
292,16:39:38,0.545359,0.509874,0.954728,0.569137,0.579551,0.644005
295,16:39:40,0.120094,0.627768,1,1,0.852895,0.899864
298,16:39:43,0.351336,0.485139,1,1,0.644236,0.57699
304,16:42:19,1.18468,1,0.982166,0.973684,0.183828,0.100611
307,16:42:22,0.327007,0.582841,0.309808,1,1,1
310,16:42:24,1.12004,0.970484,0.662814,0.128355,0.426293,0.748323
316,16:43:12,1.00873,0.311,0.380356,0.433717,0.525288,0.467629
319,16:43:15,0.745707,0.686667,0.402022,0.507567,0.645719,0.601481
322,16:43:17,1.20711,0.365,0.2052,0.421005,0.55984,0.347257
328,16:45:08,1.5139,0.46533,0.286954,0.255133,0.256751,0.379976
331,16:45:10,1.27634,0.731186,0.412587,0.286996,0.359784,0.32187
334,16:45:11,1.47132,0.317088,0.303593,0.286759,0.288533,0.354565
340,16:46:34,0.409627,0.903164,0.731497,0.670649,0.795807,0.621631
343,16:46:39,0.609042,0.445292,0.739071,0.443009,0.610248,0.850063
346,16:46:40,0.415992,0.683187,0.731842,0.524701,0.812629,0.874661
352,16:47:11,1.82317,0.311544,0.174526,0.214468,0.265683,0.242193
355,16:47:13,1.2557,0.431818,0.339173,0.419415,0.301783,0.39647
358,16:47:15,1.15729,0.366522,0.440264,0.457713,0.339864,0.36575
364,16:48:02,1.09582,0.894004,0.303424,0.385737,0.45973,0.407492
367,16:48:04,1.24933,0.311451,0.675532,0.416482,0.291892,0.246826
370,16:48:06,1.45626,0.664603,0.678856,0.206466,0.225568,0.290947
376,16:49:09,0.841932,0.688189,0.553198,0.457417,0.527404,0.455861
379,16:49:11,0.730458,0.845669,0.577751,0.458263,0.526202,0.636869
382,16:49:12,1.20763,0.162598,0.211458,0.421038,0.500481,0.510015
388,16:50:03,0.838807,0.651918,0.558321,0.582566,0.462646,0.412665
391,16:50:04,0.903383,0.401659,0.4,0.366801,0.594689,0.646592
394,16:50:06,0.770344,0.53543,0.544828,0.550921,0.569868,0.474245
400,16:51:42,2.47199,0.474186,0.27918,0.114624,0.0840231,0.111158
403,16:51:44,1.84241,0.608175,0.478533,0.207974,0.148685,0.15996
406,16:51:46,2.03541,0.389367,0.198598,0.176704,0.164351,0.212797
412,16:53:00,0.455828,1,0.697325,0.56981,0.736328,0.715691
415,16:53:01,1.09053,0.810902,0.552948,0.270131,0.358287,0.5326
418,16:53:03,0.572777,0.731203,0.66976,0.532874,0.635267,0.690512
424,16:53:36,0.702789,0.657301,0.541058,0.538987,0.44026,0.857703
427,16:53:38,0.397209,0.861602,0.629019,0.664557,0.661735,1
430,16:53:40,0.730713,0.412764,0.367526,0.390633,0.849137,0.777591
436,16:56:19,1.26608,0.789044,0.514908,0.385806,0.262092,0.283576
439,16:56:21,1.31586,0.329704,0.306957,0.283715,0.458824,0.341983
442,16:56:24,1.16239,0.616536,0.617164,0.388935,0.280915,0.350049
448,16:57:00,0.758307,0.463966,0.411368,0.903642,0.484062,0.460628
451,16:57:03,0.774686,0.415561,0.4381,0.669433,0.496469,0.591298
454,16:57:05,0.887543,0.383292,0.74747,0.706086,0.467837,0.236519
460,16:57:45,0.876799,0.530943,0.436292,0.529677,0.589977,0.386275
463,16:57:47,0.195634,0.678113,0.707828,1,0.878702,0.869281
466,16:57:49,0.144978,0.829811,0.584343,1,1,1
472,16:58:18,0.315973,0.619213,0.820271,0.885731,0.908515,0.536264
475,16:58:20,0.538288,0.916667,0.819641,0.618905,0.631019,0.50804
478,16:58:22,0.300976,0.48071,1,1,0.916118,0.433972
484,17:07:01,0.257113,1,0.789773,0.661533,1,0.758354
487,17:08:40,0.453507,0.464968,0.721946,0.453298,0.834613,1
490,17:10:08,0.203456,0.49801,1,1,1,0.559195
