B_Obs,Time,LAI,GAP[1],GAP[2],GAP[3],GAP[4],GAP[5]
16,16:14:39,0.598107,0.930887,0.798467,0.688275,0.60115,0.383107
19,16:14:46,0.649417,0.80228,0.745768,0.631824,0.515944,0.481362
22,16:14:52,0.730877,0.566441,0.499521,0.666563,0.537376,0.505925
28,16:17:45,1.18571,0.359586,0.375471,0.504967,0.264346,0.47961
31,16:17:49,1.37752,0.173096,0.306475,0.362914,0.335244,0.374829
34,16:17:52,1.00612,0.295119,0.417266,0.369205,0.48594,0.598829
40,16:18:32,0.768894,0.49923,0.613699,0.709721,0.417052,0.488841
43,16:18:36,0.628424,0.737105,0.423288,0.750084,0.576012,0.640558
46,16:18:42,0.839953,0.579292,0.696575,0.600067,0.354913,0.480258
52,16:19:16,0.353448,1,0.659387,0.714955,0.716327,0.886314
55,16:19:19,0.404388,1,1,0.652513,0.646467,0.628289
58,16:19:22,0.366949,1,0.8103,0.660631,0.684043,0.811489
64,16:21:30,1.51883,0.531646,0.385447,0.321417,0.333333,0.14061
67,16:21:38,1.4228,0.182278,0.320092,0.443531,0.275396,0.302095
70,16:21:40,1.71252,0.523827,0.522452,0.351471,0.141829,0.143135
76,16:22:35,1.76221,0.699572,0.239969,0.236302,0.217095,0.205334
79,16:22:39,1.21882,0.398076,0.561491,0.411387,0.348072,0.244498
82,16:22:42,1.30931,0.66144,0.760248,0.309764,0.29563,0.193957
88,16:23:19,1.03277,0.689363,0.82194,0.508129,0.255515,0.350305
91,16:23:24,0.826775,0.790946,0.599284,0.563915,0.366149,0.547101
94,16:23:26,1.03259,0.786529,0.380859,0.486452,0.381153,0.42582
100,16:24:21,0.535976,0.430328,0.825265,1,0.560073,0.421062
103,16:24:25,0.707991,0.361848,0.583554,0.910834,0.542983,0.368137
106,16:24:28,2.22156,0.280216,0.0766247,0.162736,0.215536,0.214401
112,16:25:39,0.509178,0.806202,0.838139,0.48795,0.528519,1
115,16:25:42,0.636773,0.548911,0.916448,0.848513,0.360283,0.534097
118,16:25:47,1.37255,0.281174,0.343054,0.230986,0.370225,0.449746
124,16:26:16,0.863564,0.719545,0.499501,0.834633,0.371596,0.348598
127,16:26:18,0.86962,0.580266,0.641741,0.633697,0.484602,0.280263
130,16:26:23,0.582735,0.729791,0.544699,0.530109,0.711886,0.695953
136,16:27:05,1.04403,0.370609,0.40465,0.440291,0.417649,0.488232
139,16:27:08,1.45863,0.175693,0.394879,0.301077,0.340141,0.262724
142,16:27:11,0.66916,0.248267,0.451819,0.795692,0.536266,0.745524
148,16:27:50,0.7882,0.608236,0.644582,0.289877,0.695423,0.610913
151,16:27:54,1.97324,0.0580657,0.113871,0.236372,0.258548,0.317645
154,16:28:01,1.52649,0.170079,0.263512,0.383842,0.277223,0.292893
160,16:28:52,0.562487,0.897715,0.821483,0.529038,0.453074,0.892051
163,16:28:57,0.661048,0.982777,0.748245,0.519792,0.505945,0.562702
166,16:28:59,1.06573,0.584886,0.312481,0.231176,0.529724,0.796623
172,16:30:19,1.40139,0.490737,0.62989,0.302225,0.233342,0.253971
175,16:30:22,1.35366,0.312574,0.293213,0.278377,0.434848,0.345175
178,16:30:25,1.29023,0.432006,0.418923,0.402068,0.319106,0.275662
184,16:31:28,1.00956,0.363298,0.45771,0.504097,0.406017,0.43966
187,16:31:32,0.847768,0.255221,0.415828,0.512044,0.566698,0.633419
190,16:31:35,1.36186,0.267557,0.445744,0.305438,0.402985,0.232866
196,16:32:10,0.484639,0.642628,0.530285,0.637968,0.961094,0.57468
199,16:32:13,0.680912,0.855052,0.639252,0.501394,0.476604,0.718493
202,16:32:16,0.592398,0.625491,0.850653,0.600496,0.576761,0.526296
208,16:32:55,1.52378,0.548456,0.375273,0.266104,0.254801,0.25708
211,16:32:57,1.23542,0.645368,0.463521,0.23282,0.381462,0.422044
214,16:32:59,1.74674,0.476001,0.323067,0.222885,0.202733,0.219854
220,16:33:46,0.221864,0.651235,0.644323,0.849036,0.919785,1
223,16:33:50,0.336767,0.486968,0.637118,0.783058,0.767914,1
226,16:33:52,0.290125,0.885117,0.512227,0.895164,0.788457,0.997648
232,16:34:25,1.55404,0.36031,0.307797,0.299681,0.251837,0.276523
235,16:34:27,0.907123,0.939479,0.479882,0.337685,0.465948,0.632758
238,16:34:30,1.49677,0.410274,0.287565,0.243139,0.305732,0.352439
244,16:35:04,0.63745,0.7172,0.479499,0.749624,0.559789,0.576179
247,16:35:09,1.37289,0.398874,0.201149,0.317704,0.349712,0.486192
256,16:35:55,0.676168,0.676581,0.404378,0.394535,0.684413,1
259,16:35:57,0.745314,0.577778,0.355731,0.587247,0.534811,0.774599
262,16:36:00,0.515537,0.614359,0.416236,0.490464,0.892797,1
268,16:36:33,0.65044,0.896048,0.909396,0.838196,0.426119,0.350441
